Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,CORSIA Eligible,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1595,NA,CARC1583,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",COMUNIDAD SANTA  ANA,COMUNIDAD SANTA ANA,,,"TUV SUD America, Inc.",Forestry - MX,Registered,Not ARB Eligible,No,TAMAZULA,DURANGO,MX,,1. No Poverty;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,4815,09/28/2022,02/07/2024,View,View,
CAR1657,NA,CARC1656,BRET Consultores,Comunidad Tutuaca,Comunidad Tutuaca,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,No,"Comunidad Tutuaca, Temósachic",CHIHUAHUA,MX,,,CAR1657 is under CARC1665. CARC1656 is a temporary aggregate. See project documents for details.,39151,11/16/2022,12/01/2023,View,View,
CAR1664,NA,CARC1656,BRET Consultores,Condueñazgo Memelichi,Condueñazgo Memelichi,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,No,"Memelichi de Abajo, Ocampo",CHIHUAHUA,MX,,,,73946,11/16/2022,12/01/2023,View,View,
CAR1674,NA,,Toroto SAPI de CV,Conhuás,Conhúas,,,,Forestry - MX,Registered,Not ARB Eligible,No,Calakmul,CAMPECHE,MX,,,,446238,12/02/2022,02/07/2024,View,View,Toroto.com
CAR1285,NA,,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,EJIDO SANTIAGO COLTZINGO,Conservación y Captura de Carbono Co2ltzingo,,,,Forestry - MX,Registered,Not ARB Eligible,Yes,Santiago Coltzingo,PUEBLA,MX,,1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,40682,05/05/2022,04/10/2019,View,View,www.icico.org.mx
CAR1219,CAOD5260,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2015-3,"Coolgas, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,108622,01/26/2016,05/10/2016,View,View,www.coolgas.com
CAR1222,CAOD5282,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-1,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,145594,03/08/2016,08/02/2016,View,View,www.coolgas.com
CAR1239,CAOD5339,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-3,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"Bowling Green, Ohio",OHIO,US,,,,133239,08/09/2016,10/24/2016,View,View,
CAR1248,CAOD5348,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-4,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,96564,12/19/2016,03/07/2017,View,View,www.agas.com
CAR1267,CAOD5347,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2017-5,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,El Dorado,ARKANSAS,US,,,,50793,07/18/2017,06/07/2018,View,View,www.agasamericas.com
